CASE# 1:
CASE# 2:
4067 not found
2926 not found
7495 not found
2821 not found
985 not found
7883 not found
427 not found
5157 not found
104 not found
6813 not found
5674 not found
3085 not found
1856 not found
7329 not found
8007 not found
1800 not found
2217 not found
1921 not found
845 not found
2921 not found
8705 not found
9575 not found
8644 not found
6800 not found
2288 not found
1604 not found
8637 not found
966 not found
1695 not found
4181 not found
6773 not found
6383 not found
2887 not found
5379 found at 133
1908 not found
288 not found
3927 not found
373 not found
7437 not found
4042 not found
3703 not found
661 not found
1322 not found
3452 not found
6953 not found
9237 not found
6971 not found
5205 not found
7807 not found
8511 not found
4368 not found
6340 not found
3297 found at 83
1716 not found
1705 not found
8225 not found
121 not found
6667 not found
6517 not found
3028 not found
7959 not found
497 not found
5362 not found
9079 not found
7126 not found
5427 not found
5939 not found
1173 not found
993 not found
8418 not found
5714 not found
1560 not found
3063 not found
1844 not found
1980 not found
587 not found
4073 not found
5446 not found
2757 not found
4314 not found
3887 not found
6202 not found
1761 not found
4571 not found
7563 not found
1661 not found
583 not found
3478 not found
5694 not found
6009 not found
3664 not found
9327 not found
2267 not found
9370 not found
5032 not found
2438 not found
3463 not found
9758 not found
683 not found
9819 not found
3812 not found
1171 not found
6226 not found
6943 not found
331 not found
2310 found at 58
6145 not found
7230 not found
595 not found
3579 not found
100 not found
7851 not found
3912 not found
7843 not found
7077 not found
4321 not found
3069 not found
7872 not found
5481 not found
4145 not found
2513 not found
790 not found
2222 not found
398 not found
2236 not found
1910 not found
1563 not found
7229 not found
4139 not found
3773 not found
8470 not found
6410 not found
2782 not found
8507 not found
9661 not found
1858 not found
4111 not found
419 not found
1565 not found
5236 not found
2485 not found
3818 not found
4607 not found
5956 not found
772 not found
9563 not found
1399 not found
2137 not found
8048 not found
7630 not found
8356 not found
584 not found
6664 not found
3830 not found
8194 not found
20 not found
2009 not found
6791 not found
1262 not found
471 not found
360 not found
510 not found
171 not found
3788 not found
8183 not found
7772 not found
9751 not found
682 not found
5147 not found
5785 not found
3497 not found
5564 not found
3661 not found
7985 not found
2565 not found
600 not found
6545 not found
3042 not found
5426 not found
6669 not found
2202 not found
3414 not found
7233 not found
2872 not found
9062 not found
6290 not found
6650 not found
6414 not found
7568 not found
5421 not found
5092 not found
6609 not found
1896 not found
7268 not found
1985 not found
111 not found
4355 not found
5083 not found
3303 not found
1198 not found
1369 not found
7288 not found
7621 not found
1933 not found
142 not found
3337 not found
2443 not found
3752 not found
3486 not found
1320 not found
2843 not found
7732 not found
5731 not found
8567 not found
3904 not found
9554 not found
5693 not found
4969 not found
872 not found
6316 not found
6993 not found
2850 not found
3927 not found
3453 not found
3294 not found
7320 not found
5617 not found
1529 not found
4361 not found
3494 not found
6881 not found
6379 not found
559 not found
2401 not found
973 not found
4042 not found
4478 not found
610 not found
3423 not found
9728 not found
6053 not found
4299 not found
8988 not found
2428 not found
6551 not found
9399 not found
2394 not found
7674 not found
3042 not found
1237 not found
8796 not found
5239 not found
1943 not found
2214 not found
2161 not found
4253 not found
3994 not found
4779 not found
8717 found at 215
7061 not found
3759 not found
5903 not found
9547 not found
3826 not found
3210 not found
4936 not found
3850 not found
8340 not found
4989 not found
4350 not found
8526 not found
7895 not found
8786 not found
6531 not found
3821 not found
5923 not found
5010 not found
9109 not found
7152 found at 174
8725 not found
675 not found
9397 not found
208 not found
1410 not found
7097 not found
1177 not found
5445 not found
8315 not found
399 not found
3038 not found
8268 not found
4638 not found
5806 not found
5643 not found
9970 not found
3253 not found
5192 not found
5716 not found
6751 not found
3315 not found
9228 not found
1972 not found
9773 not found
5157 not found
6454 not found
3790 not found
4010 not found
2817 not found
8079 not found
2657 not found
9471 not found
173 not found
846 not found
8933 not found
2278 found at 55
3048 not found
7512 not found
452 not found
6276 not found
8230 not found
1839 not found
4542 not found
5026 not found
1915 not found
5452 not found
4659 not found
4059 not found
CASE# 3:
